i,u,c,r,y,d,t,table,class
808867,?,?,?,?,7,?,5,0
1337659,?,?,?,?,?,?,2,0
1337659,?,?,?,?,7,?,5,0
921607,?,?,?,?,?,?,2,0
921607,?,?,?,?,5,?,5,0
144621,?,?,?,?,?,?,2,0
144621,?,?,?,9,?,?,6,0
1720607,?,?,?,?,?,?,2,0
1720607,?,?,?,?,5,?,5,0
1125727,?,?,?,?,?,?,2,1
1125727,?,?,?,?,5,?,5,1
1020649,?,?,?,?,?,?,2,0
1020649,?,?,?,?,4,?,5,0
?,5129411,?,?,?,?,?,1,0
?,2028204,?,?,?,?,?,1,0
?,5129411,?,?,?,?,3,7,0
996681,?,?,?,?,?,?,2,0
996681,?,?,?,9,?,?,6,0
187809,?,?,?,?,?,?,2,0
187809,?,?,?,4,?,?,6,0
?,?,3,?,?,?,?,3,1
585883,?,3,?,?,?,?,2,1
183501,?,?,?,?,?,?,2,1
183501,?,?,?,8,?,?,6,1
1517759,?,17,?,?,?,?,2,0
1109126,?,?,?,?,?,?,2,0
1109126,?,?,?,?,9,?,5,0
475537,?,?,?,?,?,?,2,1
475537,?,?,?,3,?,?,6,1
1875060,?,?,?,?,?,?,2,0
1875060,?,?,?,?,1,?,5,0
379928,?,?,?,?,?,?,2,0
379928,?,?,?,?,4,?,5,0
423978,?,?,?,?,?,?,2,0
423978,?,?,?,2,?,?,6,0
417126,?,?,?,?,?,?,2,1
417126,?,?,?,9,?,?,6,1
131832,?,?,?,?,?,?,2,1
131832,?,?,?,?,7,?,5,1
1333945,?,?,?,?,?,?,2,0
1333945,?,?,?,?,9,?,5,0
327024,?,?,?,?,?,?,2,0
327024,?,?,?,2,?,?,6,0
121561,?,?,?,?,?,?,2,0
121561,?,?,?,3,?,?,6,0
1615567,?,?,?,?,?,?,2,0
1615567,?,?,?,3,?,?,6,0
82025,?,?,?,?,?,?,2,1
82025,?,?,?,3,?,?,6,1
1464615,?,?,?,?,?,?,2,1
1464615,?,?,?,?,1,?,5,1
912383,?,?,?,?,?,?,2,1
912383,?,?,?,5,?,?,6,1
?,?,?,56,?,?,?,4,1
?,3403439,?,56,?,?,?,1,1
1526316,?,?,?,?,?,?,2,0
1526316,?,?,?,9,?,?,6,0
823668,?,?,?,?,?,?,2,1
823668,?,?,?,?,4,?,5,1
40251,?,?,?,?,?,?,2,0
40251,?,?,?,?,7,?,5,0
448626,?,19,?,?,?,?,2,0
1310205,?,?,?,?,?,?,2,1
1310205,?,?,?,5,?,?,6,1
150607,?,?,?,?,?,?,2,1
150607,?,?,?,?,6,?,5,1
341298,?,?,?,?,?,?,2,0
341298,?,?,?,?,1,?,5,0
724759,?,?,?,?,?,?,2,0
724759,?,?,?,7,?,?,6,0
748974,?,?,?,?,?,?,2,0
748974,?,?,?,?,1,?,5,0
?,404085,?,?,?,?,?,1,1
?,5571820,?,?,?,?,?,1,1
?,404085,?,?,?,?,0,7,1
1848859,?,?,?,?,?,?,2,1
1848859,?,?,?,?,3,?,5,1
?,?,?,1,?,?,?,4,0
?,499531,?,1,?,?,?,1,0
?,294154,?,?,?,?,?,1,1
?,2682990,?,?,?,?,?,1,1
?,294154,?,?,?,?,0,7,1
?,?,7,?,?,?,?,3,1
1739231,?,7,?,?,?,?,2,1
1527688,?,?,?,?,?,?,2,1
1527688,?,?,?,?,0,?,5,1
1638517,?,?,?,?,?,?,2,1
1638517,?,?,?,?,8,?,5,1
1238329,?,?,?,?,?,?,2,1
1238329,?,?,?,5,?,?,6,1
363544,?,?,?,?,?,?,2,1
363544,?,?,?,0,?,?,6,1
1007487,?,?,?,?,?,?,2,0
1007487,?,?,?,3,?,?,6,0
969264,?,?,?,?,?,?,2,0
969264,?,?,?,?,3,?,5,0
?,?,?,42,?,?,?,4,0
?,302329,?,42,?,?,?,1,0
608249,?,?,?,?,?,?,2,0
608249,?,?,?,?,6,?,5,0
367095,?,?,?,?,?,?,2,1
367095,?,?,?,7,?,?,6,1
?,?,10,?,?,?,?,3,0
711529,?,10,?,?,?,?,2,0
943961,?,?,?,?,?,?,2,1
943961,?,?,?,?,5,?,5,1
1171708,?,?,?,?,?,?,2,0
1171708,?,?,?,?,9,?,5,0
310958,?,?,?,?,?,?,2,0
310958,?,?,?,9,?,?,6,0
360450,?,?,?,?,?,?,2,0
360450,?,?,?,0,?,?,6,0
1270533,?,?,?,?,?,?,2,0
1270533,?,?,?,?,7,?,5,0
912930,?,?,?,?,?,?,2,1
912930,?,?,?,?,8,?,5,1
1699168,?,?,?,?,?,?,2,1
1699168,?,?,?,?,9,?,5,1
566036,?,?,?,?,?,?,2,1
566036,?,?,?,?,1,?,5,1
408511,?,?,?,?,?,?,2,0
408511,?,?,?,7,?,?,6,0
214852,?,?,?,?,?,?,2,0
214852,?,?,?,2,?,?,6,0
230140,?,?,?,?,?,?,2,1
230140,?,?,?,8,?,?,6,1
1233671,?,?,?,?,?,?,2,0
1233671,?,?,?,0,?,?,6,0
807243,?,?,?,?,?,?,2,0
807243,?,?,?,?,8,?,5,0
1288096,?,?,?,?,?,?,2,0
1288096,?,?,?,9,?,?,6,0
1397903,?,?,?,?,?,?,2,0
1397903,?,?,?,7,?,?,6,0
37802,?,?,?,?,?,?,2,1
37802,?,?,?,3,?,?,6,1
1403605,?,?,?,?,?,?,2,1
1403605,?,?,?,?,3,?,5,1
133112,?,?,?,?,?,?,2,0
133112,?,?,?,4,?,?,6,0
83582,?,?,?,?,?,?,2,0
83582,?,?,?,?,8,?,5,0
?,?,?,27,?,?,?,4,1
?,4222224,?,27,?,?,?,1,1
238906,?,?,?,?,?,?,2,0
238906,?,?,?,?,8,?,5,0
1728011,?,?,?,?,?,?,2,0
1728011,?,?,?,4,?,?,6,0
?,?,?,33,?,?,?,4,0
?,1225459,?,33,?,?,?,1,0
28960,?,?,?,?,?,?,2,0
28960,?,?,?,?,2,?,5,0
585248,?,?,?,?,?,?,2,1
585248,?,?,?,?,0,?,5,1
1561924,?,?,?,?,?,?,2,0
1561924,?,?,?,4,?,?,6,0
1189662,?,?,?,?,?,?,2,0
1189662,?,?,?,?,4,?,5,0
1521075,?,?,?,?,?,?,2,0
1521075,?,?,?,5,?,?,6,0
1327287,?,?,?,?,?,?,2,0
1327287,?,?,?,?,3,?,5,0
1626557,?,?,?,?,?,?,2,0
1626557,?,?,?,0,?,?,6,0
714735,?,?,?,?,?,?,2,0
714735,?,?,?,4,?,?,6,0
42951,?,?,?,?,?,?,2,0
42951,?,?,?,4,?,?,6,0
?,?,9,?,?,?,?,3,0
509180,?,9,?,?,?,?,2,0
321784,?,?,?,?,?,?,2,1
321784,?,?,?,?,7,?,5,1
1182119,?,?,?,?,?,?,2,1
1182119,?,?,?,7,?,?,6,1
1148374,?,?,?,?,?,?,2,0
1148374,?,?,?,?,6,?,5,0
1009500,?,?,?,?,?,?,2,1
1009500,?,?,?,?,8,?,5,1
1509675,?,?,?,?,?,?,2,1
1509675,?,?,?,?,1,?,5,1
361140,?,?,?,?,?,?,2,0
361140,?,?,?,?,9,?,5,0
1006669,?,?,?,?,?,?,2,0
1006669,?,?,?,?,5,?,5,0
?,4508082,?,?,?,?,?,1,0
?,5093633,?,?,?,?,?,1,0
?,4508082,?,?,?,?,0,7,0
729054,?,?,?,?,?,?,2,1
729054,?,?,?,5,?,?,6,1
1006775,?,?,?,?,?,?,2,1
1006775,?,?,?,?,6,?,5,1
536957,?,?,?,?,?,?,2,1
536957,?,?,?,?,6,?,5,1
1991811,?,?,?,?,?,?,2,1
1991811,?,?,?,?,3,?,5,1
1960971,?,?,?,?,?,?,2,1
1960971,?,?,?,8,?,?,6,1
377219,?,?,?,?,?,?,2,0
377219,?,?,?,8,?,?,6,0
271409,?,?,?,?,?,?,2,0
271409,?,?,?,2,?,?,6,0
1969743,?,?,?,?,?,?,2,1
1969743,?,?,?,?,4,?,5,1
60019,?,?,?,?,?,?,2,1
60019,?,?,?,1,?,?,6,1
356318,?,?,?,?,?,?,2,0
356318,?,?,?,6,?,?,6,0
3213,?,?,?,?,?,?,2,0
3213,?,?,?,?,7,?,5,0
704031,?,?,?,?,?,?,2,0
704031,?,?,?,?,9,?,5,0
236161,?,?,?,?,?,?,2,0
236161,?,?,?,?,8,?,5,0
1569191,?,?,?,?,?,?,2,0
1569191,?,?,?,2,?,?,6,0
?,?,?,34,?,?,?,4,0
?,703266,?,34,?,?,?,1,0
324731,?,?,?,?,?,?,2,1
324731,?,?,?,?,1,?,5,1
1534256,?,?,?,?,?,?,2,1
1534256,?,?,?,9,?,?,6,1
1679236,?,?,?,?,?,?,2,1
1679236,?,?,?,3,?,?,6,1
?,?,?,57,?,?,?,4,0
?,2731947,?,57,?,?,?,1,0
1393540,?,?,?,?,?,?,2,0
1393540,?,?,?,?,7,?,5,0
1743233,?,?,?,?,?,?,2,0
1743233,?,?,?,?,7,?,5,0
1363527,?,?,?,?,?,?,2,1
1363527,?,?,?,?,9,?,5,1
?,?,?,4,?,?,?,4,1
?,2482083,?,4,?,?,?,1,1
1163679,?,?,?,?,?,?,2,1
1163679,?,?,?,?,4,?,5,1
?,?,?,59,?,?,?,4,0
?,523645,?,59,?,?,?,1,0
1810627,?,?,?,?,?,?,2,0
1810627,?,?,?,?,6,?,5,0
1882500,?,?,?,?,?,?,2,0
1882500,?,?,?,?,5,?,5,0
731393,?,?,?,?,?,?,2,0
731393,?,?,?,?,4,?,5,0
1149368,?,?,?,?,?,?,2,1
1149368,?,?,?,?,8,?,5,1
433762,?,?,?,?,?,?,2,1
433762,?,?,?,6,?,?,6,1
1764538,?,?,?,?,?,?,2,0
1764538,?,?,?,?,6,?,5,0
276261,?,?,?,?,?,?,2,0
276261,?,?,?,?,0,?,5,0
152142,?,?,?,?,?,?,2,1
152142,?,?,?,0,?,?,6,1
1723514,?,?,?,?,?,?,2,1
1723514,?,?,?,6,?,?,6,1
1147080,?,?,?,?,?,?,2,1
1147080,?,?,?,?,9,?,5,1
86099,?,?,?,?,?,?,2,0
86099,?,?,?,?,4,?,5,0
207404,?,?,?,?,?,?,2,1
207404,?,?,?,9,?,?,6,1
1101743,?,?,?,?,?,?,2,1
1101743,?,?,?,1,?,?,6,1
1158285,?,?,?,?,?,?,2,0
1158285,?,?,?,?,1,?,5,0
1091591,?,?,?,?,?,?,2,1
1091591,?,?,?,?,9,?,5,1
468808,?,?,?,?,?,?,2,0
468808,?,?,?,4,?,?,6,0
432727,?,?,?,?,?,?,2,0
432727,?,?,?,?,7,?,5,0
1739682,?,?,?,?,?,?,2,0
1739682,?,?,?,7,?,?,6,0
1073919,?,?,?,?,?,?,2,0
1073919,?,?,?,?,9,?,5,0
578050,?,?,?,?,?,?,2,1
578050,?,?,?,1,?,?,6,1
955326,?,?,?,?,?,?,2,1
955326,?,?,?,0,?,?,6,1
141744,?,?,?,?,?,?,2,1
141744,?,?,?,?,4,?,5,1
643931,?,?,?,?,?,?,2,0
643931,?,?,?,8,?,?,6,0
1513211,?,?,?,?,?,?,2,0
1513211,?,?,?,8,?,?,6,0
1649567,?,?,?,?,?,?,2,0
1649567,?,?,?,3,?,?,6,0
1765408,?,?,?,?,?,?,2,1
1765408,?,?,?,5,?,?,6,1
776254,?,?,?,?,?,?,2,0
776254,?,?,?,?,4,?,5,0
998102,?,?,?,?,?,?,2,0
998102,?,?,?,2,?,?,6,0
1410174,?,?,?,?,?,?,2,0
1410174,?,?,?,?,1,?,5,0
399846,?,?,?,?,?,?,2,1
399846,?,?,?,9,?,?,6,1
1343463,?,8,?,?,?,?,2,0
502804,?,?,?,?,?,?,2,1
502804,?,?,?,5,?,?,6,1
1136500,?,12,?,?,?,?,2,0
518001,?,?,?,?,?,?,2,1
518001,?,?,?,0,?,?,6,1
1399913,?,?,?,?,?,?,2,1
1399913,?,?,?,?,9,?,5,1
1489005,?,?,?,?,?,?,2,1
1489005,?,?,?,5,?,?,6,1
1155235,?,?,?,?,?,?,2,0
1155235,?,?,?,9,?,?,6,0
1324642,?,?,?,?,?,?,2,0
1324642,?,?,?,?,2,?,5,0
66076,?,?,?,?,?,?,2,0
66076,?,?,?,?,0,?,5,0
281025,?,?,?,?,?,?,2,0
281025,?,?,?,?,1,?,5,0
569857,?,?,?,?,?,?,2,0
569857,?,?,?,4,?,?,6,0
433900,?,8,?,?,?,?,2,0
1293884,?,?,?,?,?,?,2,1
1293884,?,?,?,?,6,?,5,1
747096,?,?,?,?,?,?,2,0
747096,?,?,?,9,?,?,6,0
949011,?,?,?,?,?,?,2,1
949011,?,?,?,1,?,?,6,1
57732,?,?,?,?,?,?,2,1
57732,?,?,?,9,?,?,6,1
1081498,?,?,?,?,?,?,2,1
1081498,?,?,?,3,?,?,6,1
1948104,?,?,?,?,?,?,2,1
1948104,?,?,?,?,0,?,5,1
456973,?,?,?,?,?,?,2,1
456973,?,?,?,7,?,?,6,1
627592,?,?,?,?,?,?,2,1
627592,?,?,?,?,9,?,5,1
8864,?,?,?,?,?,?,2,0
8864,?,?,?,7,?,?,6,0
1385549,?,?,?,?,?,?,2,0
1385549,?,?,?,?,1,?,5,0
272302,?,?,?,?,?,?,2,1
272302,?,?,?,?,2,?,5,1
11260,?,?,?,?,?,?,2,1
11260,?,?,?,?,6,?,5,1
1962421,?,?,?,?,?,?,2,1
1962421,?,?,?,3,?,?,6,1
776391,?,?,?,?,?,?,2,0
776391,?,?,?,8,?,?,6,0
211503,?,?,?,?,?,?,2,0
211503,?,?,?,9,?,?,6,0
1713170,?,?,?,?,?,?,2,0
1713170,?,?,?,4,?,?,6,0
?,?,?,39,?,?,?,4,0
?,836684,?,39,?,?,?,1,0
29742,?,?,?,?,?,?,2,0
29742,?,?,?,5,?,?,6,0
1180098,?,?,?,?,?,?,2,0
1180098,?,?,?,?,7,?,5,0
1909590,?,?,?,?,?,?,2,1
1909590,?,?,?,?,5,?,5,1
519125,?,?,?,?,?,?,2,1
519125,?,?,?,7,?,?,6,1
334640,?,?,?,?,?,?,2,0
334640,?,?,?,8,?,?,6,0
1270036,?,?,?,?,?,?,2,0
1270036,?,?,?,7,?,?,6,0
596166,?,?,?,?,?,?,2,0
596166,?,?,?,?,0,?,5,0
1657110,?,?,?,?,?,?,2,0
1657110,?,?,?,?,5,?,5,0
?,411004,?,8,?,?,?,1,0
205989,?,?,?,?,?,?,2,1
205989,?,?,?,?,5,?,5,1
441302,?,?,?,?,?,?,2,0
441302,?,?,?,1,?,?,6,0
1971961,?,?,?,?,?,?,2,0
1971961,?,?,?,?,4,?,5,0
1086451,?,?,?,?,?,?,2,1
1086451,?,?,?,9,?,?,6,1
333932,?,?,?,?,?,?,2,1
333932,?,?,?,5,?,?,6,1
826511,?,?,?,?,?,?,2,0
826511,?,?,?,?,7,?,5,0
?,3094773,?,?,?,?,?,1,0
?,1368334,?,?,?,?,?,1,0
?,3094773,?,?,?,?,4,7,0
925153,?,?,?,?,?,?,2,0
925153,?,?,?,5,?,?,6,0
421750,?,17,?,?,?,?,2,0
1552038,?,?,?,?,?,?,2,0
1552038,?,?,?,?,3,?,5,0
?,5939062,?,?,?,?,?,1,0
?,2459456,?,?,?,?,?,1,0
?,5939062,?,?,?,?,5,7,0
?,?,2,?,?,?,?,3,1
647851,?,2,?,?,?,?,2,1
176407,?,?,?,?,?,?,2,1
176407,?,?,?,2,?,?,6,1
1689221,?,?,?,?,?,?,2,1
1689221,?,?,?,0,?,?,6,1
1829841,?,?,?,?,?,?,2,1
1829841,?,?,?,2,?,?,6,1
831211,?,?,?,?,?,?,2,1
831211,?,?,?,4,?,?,6,1
237756,?,?,?,?,?,?,2,1
